X,Y,OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
447855.958465926,552687.688156024,58,Shopping,Princeton Record Exchange,20 South Tulane Street,Tulane,Princeton,Mercer,"20 South Tulane Street, Princeton, NJ, 08542",http://www.prex.com/,-74.658843,40.350663,97503951-cd10-46f3-9f07-bde78682a628
447499.440150093,552498.180004857,59,Café,Small World Coffee,14 Witherspoon Street,Witherspoon,Princeton,Mercer,"14 Witherspoon Street, Princeton, NJ, 08542",https://smallworldcoffee.com/,-74.660121,40.350141,57cbef3e-9969-43ec-9d57-27c47c1febfe
450018.282553341,553321.428030275,60,Café,Small World Coffee,254 Nassau Street,Nassau,Princeton,Mercer,"254 Nassau Street, Princeton, NJ, 08542",https://smallworldcoffee.com/,-74.65108821,40.35241313,695d4bfb-2c45-45f1-b0e4-96ad1496caae
447018.948328927,552403.212347023,61,Food,The Bent Spoon,35 Palmer Square,Palmer,Princeton,Mercer,"35 Palmer Square, Princeton, NJ, 08542",https://www.thebentspoon.com/,-74.66195017,40.34990836,26837bff-92ce-4bed-bd09-1ec3916408d4
450041.37076176,557528.428146444,62,Attraction,Tranquility Day Spa,301 North Harrison Street,Harrison,Princeton,Mercer,"301 North Harrison Street, Princeton, NJ, 08540",https://www.tranquilitydenmassage.com/,-74.65102931,40.36397898,1b3f2e8c-32af-44e3-8ca5-4b1f0c87471a
447144.123931594,552604.106302194,63,Food,Nassau Inn,10 Palmer Square,Palmer,Princeton,Mercer,"Palmer Square, Princeton, NJ, 08540",https://nassauinn.com/,-74.66096097,40.35015381,dbf9546c-42f0-4f19-a433-49942cf1e2fa
447540.157588344,552975.536333606,64,Food,Witherspoon Grill,57 Witherspoon Street,Witherspoon,Princeton,Mercer,"57 Witherspoon Street, Princeton, NJ, 08542",https://www.witherspoongrill.com/,-74.6600818,40.35143651,127519a3-485a-4144-8dd8-d634c6f5842e
447285.817545842,552406.009585522,65,Food,Winberie's,1 Palmer Square,Palmer,Princeton,Mercer,"1 Palmer Square West, Princeton, NJ, 08542",https://princeton.winberies.com/,-74.66096771,40.34992605,e70fc3d3-45f3-49b7-995f-a680857408e4
447185.428967092,552751.071887523,66,Food,Princton Soup and Sandwich,30 Palmer Sqaure East,Palmer,Princeton,Mercer,"Palmer Square East, Princeton, NJ, 08542",https://www.princetonsoupandsandwich.com/,-74.66128777,40.35086482,69164a57-0060-45f3-b373-20f7b7217eff
612909.471534092,552583.827143274,67,Attraction,Board & Brush Red Bank,26 Monmouth Street,Monmouth,Tinton Falls,Monmouth,"26 Monmouth Street, Red Bank, NJ, 07701",https://boardandbrush.com/redbank/,-74.06661673,40.34967502,6ea92e33-800d-4cfa-b429-00fb874cc183
